,country,flights,gisaidNumber,Source_report
155,Spain,130597,9999,https://www.bbc.co.uk/news/world-europe-55452262
88,Italy,106038,15,
69,Greece,95833,9999,
135,Poland,69500,,
66,Germany,69105,9999,
136,Portugal,60996,19,
173,Turkey,52534,9999,
140,Romania,49693,9999,
46,Cyprus,35564,9999,
85,Ireland,31796,7,
26,Bulgaria,27337,,
61,France,25216,1,
164,Sweden,22116,1,https://www.bbc.co.uk/news/world-europe-55452262
81,India,20689,9999,https://t.co/ODdtQd9sup?amp=1
179,United States of America,18890,2,https://t.co/U0ik8G1d1F?amp=1
102,Lithuania,18168,,
178,United Arab Emirates,16499,9999,
123,Netherlands,16029,3,
129,Pakistan,15448,9999,
48,Denmark,12353,9,
79,Hungary,11342,,
165,Switzerland,9940,9999,https://www.bbc.co.uk/news/world-europe-55452262
53,Egypt,8601,,
126,Nigeria,8505,,
36,China,8363,9999,http://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.270
141,Russia,8196,,
150,Slovakia,8001,9999,
2,Albania,6777,,
116,Moldova,6442,,
111,Malta,6429,9999,
177,Ukraine,6401,,
87,Israel,6255,4,
10,Austria,5935,9999,
99,Latvia,5914,,
47,Czech Republic,5667,,
89,Jamaica,5562,9999,
127,Norway,5495,9999,
118,Morocco,5141,,
30,Canada,4416,9999,
146,Serbia,4094,,
67,Ghana,3962,,
15,Barbados,3855,,
138,Qatar,3655,,
94,Kenya,3505,,
5,Antigua-Barbuda,3272,,
43,Croatia,3121,,
60,Finland,3093,2,
144,Saudi Arabia,3087,,
153,South Africa,3011,,
96,Kuwait,2999,,
149,Singapore,2967,1,
31,Cape Verde,2769,,
80,Iceland,2477,9999,
78,Hong Kong,2420,2,
158,St Lucia,2414,,
109,Maldives,2238,,
14,Bangladesh,2218,,
105,Macedonia,2172,,
17,Belgium,2051,9999,
103,Luxembourg,1959,9999,
169,Thailand,1933,9999,
84,Iraq,1925,,
90,Japan,1914,9999,https://www.bbc.co.uk/news/world-europe-55452262
56,Estonia,1870,,
20,Bermuda,1782,,
134,Philippines,1774,9999,
152,Somalia,1685,,
115,Mexico,1618,,
100,Lebanon,1467,9999,https://www.washingtonpost.com/world/2020/12/26/variant-coronavirus-spreading-beyond-uk/
83,Iran,1438,9999,
156,Sri Lanka,1224,,
117,Montenegro,1113,,
122,Nepal,1078,,
186,Zimbabwe,1069,,
1,Afghanistan,961,,
57,Ethiopia,961,,
108,Malaysia,947,,
82,Indonesia,938,,
95,South Korea,927,3,
151,Slovenia,904,,
11,Azerbaijan,839,,
124,New Zealand,776,,
128,Oman,774,9999,
176,Uganda,755,,
51,Dominican Republic,714,,
9,Australia,713,3,
16,Belarus,695,,
13,Bahrain,667,,
92,Jordan,656,9999,
86,Isle of Man,623,,
168,Tanzania,620,,
166,Taiwan,593,9999,
182,Vietnam,583,,
172,Tunisia,508,,
161,Sudan,498,,
39,Congo (Kinshasa),489,,
185,Zambia,449,,
147,Seychelles,435,,
148,Sierra Leone,378,,
6,Argentina,355,,
52,Ecuador,333,,
35,Chile,330,9999,
93,Kazakhstan,328,,
32,Cayman Islands,302,,
29,Cameroon,301,,
37,Colombia,271,,
3,Algeria,223,,
41,Costa Rica,222,,
4,Angola,211,,
145,Senegal,196,,
130,Panama,192,,
64,Gambia,183,,
121,Namibia,176,,
25,Brunei Darussalam,161,,
113,Mauritius,150,,
7,Armenia,148,,
110,Mali,146,,
70,Grenada,138,,
42,Cote D'Ivoire,135,,
97,Kyrgyzstan,128,,
160,St Vincent-Grenad,114,,
180,Uruguay,114,,
72,Guatemala,113,,
154,South Sudan,110,,
142,Rwanda,99,,
21,Bolivia,90,,
181,Uzbekistan,90,,
45,Curacao,85,,
119,Mozambique,83,,
133,Peru,83,,
55,Equatorial Guinea,81,,
50,Dominica,76,,
106,Madagascar,73,,
159,St Maarten (Dutch Part),73,,
183,Virgin Islands (GB),71,,
49,Djibouti,64,,
77,Honduras,52,,
107,Malawi,51,,
22,Bosnia-Herzegovina,49,,
19,Benin,44,,
65,Georgia,43,,
27,Burkina Faso,39,,
12,Bahamas,36,,
170,Togo,36,,
28,Cambodia,35,,
112,Mauritania,34,,
38,Congo (Brazzaville),32,,
8,Aruba,31,,
54,El Salvador,31,,
137,Puerto Rico,29,,
34,Chad,26,,
175,Turks-Caicos,23,,
63,Gabon,22,,
131,Papua New Guinea,22,,
73,Guinea,21,,
101,Liberia,21,,
18,Belize,20,,
58,Faroe Islands,15,,
59,Fiji,15,,
167,Tajikistan,15,,
44,Cuba,13,,
125,Niger,12,,
98,Laos,11,,
132,Paraguay,11,,
139,Reunion,9,,
162,Suriname,9,,
157,St Barthelemy,8,,
23,Botswana,7,9999,
62,French Polynesia,7,,
143,Sao Tome-Principe,7,,
33,Central African Rep,6,,
71,Guam,5,,
120,Myanmar,5,,
171,Trinidad-Tobago,4,,
174,Turkmenistan,4,,
104,Macao (SAR),3,,
184,Virgin Islands (US),3,,
74,Guinea-Bissau,2,,
114,Mayotte,2,,
163,Swaziland,2,,
40,Cook Islands,1,,
75,Guyana,1,,
76,Haiti,1,,